['Dallas, NC',2],
['Huntingdon, TN',1],
['Wynne, AR',3],
['Winston Salem, NC',3],
['Camilla, GA',1],
['Everman, TX',13],
['Carleton, MI',1],
['Gray, GA',2],
['Natick, MA',5],
['Chesapeake, VA',39],
['Camden, SC',7],
['Chester, PA',2],
['Cairo, GA',8],
['Brownwood, TX',14],
['North Olmsted, OH',4],
['Saint Amant, LA',1],
['Union Beach, NJ',1],
['Mount Pleasant, UT',1],
['Goodland, KS',3],
['Chicago Heights, IL',2],
['Tuscarawas Valley, OH',1],
['Swissvale, PA',1],
['Maryville, TN',10],
['Plainville, CT',1],
['Kirkland, WA',4],
['Iowa, LA',1],
['Greer, SC',10],
['New Baltimore, MI',1],
['Charleston, MS',2],
['Manvel, TX',9],
['Buffalo Grove, IL',5],
['Lawrenceville, NJ',5],
['Esperia, CA',1],
['Winnfield, LA',7],
['Middletown, OH',19],
['Mt. Lebanon, PA',1],
['Ringgold, VA',1],
['Dallas, PA',1],
['Middleburg, FL',1],
['Albequerque, NM',1],
['Cedarhurst, NY',1],
['Woodville, MS',3],
['Allen, TX',41],
['Great Neck, NY',1],
['Canyon Country Day, CA',1],
['Spencerville, OH',2],
['Belton, TX',4],
['Stevens Point, WI',1],
['Hauuula, HI',1],
['Brownsburg, IN',4],
['Bealeton, VA',10],
['Alamo, NV',1],
['Shawnee, OK',6],
['Freeport, NY',2],
['Wahpeton, ND',15],
['Pascogoula, MS',1],
['Datona Beach, FL',1],
['Fontana, CA',25],
['Knoxville, TN',26],
['Cottonwood, AL',1],
['Coatesville, PA',3],
['Thomasville, NC',2],
['Abilene, TX',25],
['Chantilly, VA',2],
['Reidsville, NC',2],
['Woodruff, SC',2],
['Independence, KS',25],
['McKees Rocks, PA',7],
['Stratford, WI',1],
['Moore Haven, FL',1],
['Price, TX',1],
['Norman, OK',13],
['Taylorsville, MS',5],
['Vail, AZ',3],
['Sebastopol, CA',1],
['Fremont, OH',1],
['University Heights, OH',2],
['Dunlap, IL',1],
['Dorchester, MA',4],
['Decatur, GA',36],
['New Iberia, LA',15],
['Boyertown, PA',2],
['Camden, AR',9],
['Irmo, SC',12],
['Bonita Springs, FL',1],
['Vernon, TX',1],
['Longwood, FL',9],
['Temple, TX',5],
['Union City, NJ',4],
['Sacramento, CA',93],
['Angier, NC',2],
['Kensington, CA',1],
['Prairie Village, KS',1],
['Eastampton, NJ',1],
['Green Cove Spings, FL',1],
['Alto, TX',1],
['Elk Grove, CA',30],
['Palmetto, FL',11],
['American Somoa, CA',1],
['Palos Verde, CA',1],
['Richton Park, IL',1],
['Ellicott City, MD',1],
['Ladysmith, WI',2],
['Suisan City, CA',1],
['Stamps, AR',1],
['Hueytown, AL',3],
['Rock Hill, SC',18],
['Cheshire, CT',9],
['Newport Beach, CA',3],
['Porter, OK',1],
['Blissfield, MI',1],
['Galloway, NJ',2],
['Homer, LA',3],
['Waynesboro, MS',9],
['Randleman, NC',1],
['Cuba City, WI',1],
['CA',2],
['Port Orange, FL',6],
['Bloom Carroll, OH',1],
['Newark, OH',6],
['Smithson Valley, TX',1],
['Snohomish, WA',2],
['Miami Beach, FL',4],
['Sotry City, IA',1],
['Fowler, CA',1],
['Fort Meade, MD',2],
['Glens Falls, NY',1],
['Logandale, NV',1],
['Sping Branch, TX',1],
['Ft. Bend, TX',3],
['Grandville, MI',1],
['New Philadelphia, OH',1],
['Shirley, NY',1],
['Rushville, NE',1],
['Wallington, NJ',1],
['Tryone, PA',1],
['Perkinston, MS',49],
['Bayonne, NJ',4],
['Lewiston, ID',3],
['Redondo Beach, CA',3],
['Tooele, UT',1],
['Albertsville, MN',1],
['Minot, ND',1],
['Smith Station, AL',1],
['Hershey, PA',3],
['Lincolnshire, IL',3],
['Brookfield, WI',10],
['Canberra, Australia, NA',1],
['Melvindale, MI',2],
['Garber, OK',1],
['Mercer Island, WA',1],
['Duquesne, PA',4],
['Peachtree City, GA',1],
['Zephyrhills, FL',2],
['Starkville, MS',13],
['Milford, NY',1],
['Whitehouse, OH',2],
['Lepanto, AR',3],
['Laplace, LA',2],
['Pahokee, FL',33],
[Nu'uuli,1],
['St. Augustine, FL',13],
['Xenia, OH',7],
['Wetumpka, AL',4],
['El Cajon, CA',32],
['Connellys Springs, NC',1],
['Newton, KS',3],
['La Mirada, CA',8],
['Canadian, TX',2],
['Henrico, VA',1],
['Winston-Salem, NC',15],
['Baldwin, LA',6],
['Bellflower, CA',21],
['Bettendorf, IA',5],
['Hilo, HI',4],
['Gordo, AL',1],
['Brookhaven, NY',1],
['Centennial, CO',3],
['Boulder City, NV',1],
['Sylvester, GA',2],
['Fairless Hills, PA',7],
['Scottsdale, AZ',79],
['North Eastham, MA',1],
['Bratt, FL',2],
['Gainesville, GA',25],
['Manasquan, NJ',6],
['Scottsdale, AR',1],
['Bentonville, AR',9],
['Bluefield, VA',1],
['New Castle, IN',1],
['Miami, FL',448],
['Linden, AL',3],
['Tifton, GA',4],
['Ripplemeade, VA',1],
['Vanderbilt, TX',1],
['Plymouth, IN',3],
['Bay City, TX',9],
['West Chester, OH',17],
['Port St Lucie, FL',3],
['Lake Forest, IL',3],
['Blairsville, GA',1],
['Monticello, MS',4],
['Convoy, OH',1],
['Mt. Morris, MI',1],
['Carneys Point, NJ',1],
['St George, VA',1],
['Orange, VA',2],
['Spartanburg, SC',14],
['Slatington, PA',1],
